origin destination reason MODO HMV RED duration distance strata age gender FEV ID 
362 6 1 4 6.75 AM 90 6.4112 s_1 50 1 30.46298507 1 
6 362 6 2 19.25 PM 30 6.4112 s_1 50 1 32.75589793 1 
362 36 1 4 8.5 AM 60 4.478 s_1 40 2 32.75589793 2 
36 362 6 2 18.75 PM 30 4.478 s_1 40 2 32.75589793 2 
362 253 2 1 5.915 AM 10.2 0.8034 s_1 18 2 32.75589793 3 
253 362 6 1 12.333 MD 10 0.8034 s_1 18 2 32.75589793 3 
362 6 1 4 8.75 AM 30 6.4112 s_1 16 2 32.75589793 4 
6 362 6 4 18.25 PM 30 6.4112 s_1 16 2 31.11810303 4 
366 366 7 1 7.875 AM 15 0 s_1 32 2 32.75589793 146 
366 366 6 1 16.125 PM 15 0 s_1 32 2 32.75589793 146 
36 216 6 2 19.125 PM 45 4.9562 s_1 38 1 51.03515625 147 
216 36 1 2 5.625 AM 75 4.9562 s_1 38 1 51.03515625 147 
36 216 6 2 19.125 PM 45 4.9562 s_1 38 1 51.03515625 147 
312 216 6 4 17.875 PM 75 15.5356 s_1 39 2 55.42417969 148 
216 312 1 4 6 AM 60 15.5356 s_1 39 2 61.2421875 148 
312 216 6 4 17.875 PM 75 15.5356 s_1 39 2 55.42417969 148 
359 216 6 1 17.875 PM 15 0.2507 s_1 9 2 51.03515625 149 
216 359 4 1 11.083 MD 10 0.2507 s_1 9 2 51.03515625 149 
359 216 6 1 17.875 PM 15 0.2507 s_1 9 2 51.03515625 149 
366 151 1 2 7.5 AM 60 8.5562 s_1 27 2 29.48030814 336 
151 366 6 2 16.5 PM 60 8.5562 s_1 27 2 32.75589793 336 
366 366 2 1 6.85 AM 12 0 s_1 9 2 32.75589793 337 
366 366 6 1 12.1 MD 12 0 s_1 9 2 32.75589793 337 
366 366 2 1 6.875 AM 15 0 s_1 8 2 32.75589793 338 
366 366 6 1 12.1 MD 12 0 s_1 8 2 32.75589793 338 
366 60 1 2 6.38 AM 45 7.6341 s_1 38 1 32.76 526 
60 366 6 2 17.33 PM 40 7.6341 s_1 38 1 32.76 526 
366 366 2 1 7.71 AM 5 0 s_1 5 2 32.76 527 
366 366 6 1 12.04 MD 5 0 s_1 5 2 32.76 527 
366 104 1 3 7.585 AM 49.8 9.4275 s_1 29 1 32.75589793 755 
104 366 6 3 18 PM 60 9.4275 s_1 29 1 68.78738565 755 
366 267 1 2 7.832 AM 60.2 4.4046 s_1 21 2 32.75589793 756 
267 366 6 2 17.292 PM 35 4.4046 s_1 21 2 32.75589793 756 
365 18 3 2 8.50 AM 60 5.2679 s_1 42 1 32.76 849 
18 365 6 2 12.63 MD 75 5.2679 s_1 42 1 32.76 849 
365 76 1 4 6.5 AM 60 9.7382 s_1 24 1 30.46298507 1049 
76 365 6 4 14.5 MD 60 9.7382 s_1 24 1 32.75589793 1049 
365 1 5 4 5.333 AM 40 5.3619 s_1 18 1 32.75589793 1050 
1 365 6 4 11.165 MD 40.2 5.3619 s_1 18 1 32.75589793 1050 
365 221 2 2 6.75 AM 30 1.8209 s_1 8 1 32.75589793 1051 
221 365 6 2 12.25 MD 30 1.8209 s_1 8 1 32.75589793 1051 
365 79 4 4 8 AM 60 10.1926 s_1 79 1 32.75589793 1507 
79 365 6 4 12 MD 60 10.1926 s_1 79 1 32.75589793 1507 
215 335 1 4 5.67 AM 80 16.9439 s_1 40 1 41.51 1562 
335 215 6 4 18.75 PM 90 16.9439 s_1 40 1 45.08 1562 
215 215 2 1 6.04 AM 5 0 s_1 16 1 41.51 1563 
215 215 6 1 12.13 MD 5 0 s_1 16 1 41.51 1563 
215 215 2 1 12.38 MD 5 0 s_1 12 1 41.51 1564 
215 215 6 1 18.38 PM 5 0 s_1 12 1 41.51 1564 
365 18 1 2 7.88 AM 45 5.2679 s_1 60 1 32.76 1973 
18 365 6 2 17.67 PM 40 5.2679 s_1 60 1 32.76 1973 
365 18 1 2 7.88 AM 45 5.2679 s_1 50 2 32.76 1974 
18 365 6 2 17.67 PM 40 5.2679 s_1 50 2 32.76 1974 
365 18 1 2 7.88 AM 45 5.2679 s_1 18 1 32.76 1975 
18 365 6 2 17.67 PM 40 5.2679 s_1 18 1 32.76 1975 
365 241 4 2 9.5 AM 60 2.4615 s_1 67 1 32.75589793 2115 
241 365 6 2 12.5 MD 60 2.4615 s_1 67 1 32.75589793 2115 
166 164 1 1 8.083 AM 10 1.2015 s_1 34 2 55.36363636 2150 
164 166 5 1 11.83 MD 9.6 1.2015 s_1 34 2 55.36363636 2150 
166 164 1 1 15.083 MD 10 1.2015 s_1 34 2 55.36363636 2150 
164 166 6 1 18.083 PM 10 1.2015 s_1 34 2 55.36363636 2150 
166 27 1 3 6.875 AM 15 5.1657 s_1 30 1 33.21818182 2151 
27 166 6 3 19.625 PM 15 5.1657 s_1 30 1 55.36363636 2151 
166 163 2 1 12.293 MD 14.8 0.6652 s_1 12 2 55.36363636 2152 
163 166 6 1 18.625 PM 15 0.6652 s_1 12 2 55.36363636 2152 
166 18 3 2 7.125 AM 15 3.6594 s_1 56 2 55.36363636 2158 
18 166 6 2 8.54 AM 25.2 3.6594 s_1 56 2 55.36363636 2158 
166 163 2 1 12.292 MD 5 0.6652 s_1 13 2 55.36363636 2159 
163 166 6 1 18.542 PM 5 0.6652 s_1 13 2 55.36363636 2159 
166 18 3 2 14.167 MD 20 3.6594 s_1 50 2 55.36363636 2160 
18 166 6 2 15.04 MD 25.2 3.6594 s_1 50 2 55.36363636 2160 
166 1 7 2 11.875 MD 15 4.5317 s_1 48 2 55.36363636 2167 
1 166 6 2 22.875 MN 15 4.5317 s_1 48 2 55.36363636 2167 
166 166 1 1 7.708 AM 25 0 s_1 20 2 55.36363636 2168 
166 166 6 1 12.208 MD 25 0 s_1 20 2 55.36363636 2168 
166 166 1 1 13.708 MD 25 0 s_1 20 2 55.36363636 2168 
166 166 6 1 17.708 PM 25 0 s_1 20 2 55.36363636 2168 
166 232 1 2 6.75 AM 30 4.2925 s_1 43 1 55.36363636 2169 
232 166 6 2 18.417 PM 50 4.2925 s_1 43 1 49.82727273 2169 
166 410 1 3 5.5 AM 180 36.566 s_1 21 1 55.36363636 2170 
410 96 1 3 17 PM 120 40.9887 s_1 21 1 127.3363636 2170 
96 166 6 4 18.585 PM 49.8 8.4865 s_1 21 1 52.59545455 2170 
166 232 7 2 12.75 MD 30 4.2925 s_1 20 1 55.36363636 2171 
232 166 6 2 18.417 PM 50 4.2925 s_1 20 1 49.82727273 2171 
166 18 3 3 14.125 MD 15 3.6594 s_1 35 1 55.36363636 2172 
18 166 6 3 14.752 MD 9.8 3.6594 s_1 35 1 55.36363636 2172 
166 170 2 1 12.083 MD 10 0.6706 s_1 13 2 55.36363636 2173 
170 166 6 1 18.708 PM 25 0.6706 s_1 13 2 55.36363636 2173 
166 170 7 1 7.042 AM 5 0.6706 s_1 49 1 55.36363636 2174 
170 166 6 1 12.042 MD 5 0.6706 s_1 49 1 55.36363636 2174 
166 170 7 1 13.542 MD 5 0.6706 s_1 49 1 55.36363636 2174 
170 166 6 1 19.542 PM 5 0.6706 s_1 49 1 55.36363636 2174 
166 24 1 2 5.75 AM 30 4.5285 s_1 47 2 55.36363636 2175 
24 166 6 2 17.5 PM 60 4.5285 s_1 47 2 49.82727273 2175 
166 405 2 2 7.375 AM 45 4.6559 s_1 22 1 55.36363636 2176 
405 166 6 2 12.25 MD 30 4.6559 s_1 22 1 55.36363636 2176 
166 405 2 2 13.583 MD 40 4.6559 s_1 22 1 55.36363636 2176 
405 166 6 2 22.25 MN 30 4.6559 s_1 22 1 55.36363636 2176 
166 399 1 2 7.75 AM 30 4.4303 s_1 46 2 55.36363636 2177 
399 166 6 2 16.25 PM 30 4.4303 s_1 46 2 55.36363636 2177 
166 170 2 1 6.75 AM 30 0.6706 s_1 9 1 55.36363636 2178 
170 166 6 1 12.25 MD 30 0.6706 s_1 9 1 55.36363636 2178 
166 156 1 2 7.17 AM 20 3.0656 s_1 32 2 55.36 2179 
156 166 6 2 18.17 PM 20 3.0656 s_1 32 2 55.36 2179 
166 170 2 1 11.83 MD 20 0.6706 s_1 11 2 55.36 2180 
170 166 6 1 17.17 PM 20 0.6706 s_1 11 2 55.36 2180 
365 337 1 4 21 PM 60 19.955 s_1 28 1 32.75589793 2231 
337 365 6 4 7 AM 60 19.955 s_1 28 1 29.80786712 2231 
146 262 1 3 7.25 AM 30 9.1619 s_1 48 1 56.07 2581 
262 12 1 3 16.25 PM 30 6.3874 s_1 48 1 46.72 2581 
12 146 6 3 21.25 PM 30 5.5356 s_1 48 1 46.72 2581 
146 151 1 2 6.29 AM 15 1.292 s_1 40 2 46.72 2582 
151 146 6 2 12.67 MD 20 1.292 s_1 40 2 46.72 2582 
215 24 3 2 7.75 AM 30 7.1949 s_1 45 1 18.25 2657 
24 142 7 2 19.625 PM 15 5.0251 s_1 45 1 18.25 2657 
142 215 6 4 21.5 PM 60 8.9945 s_1 45 1 18.25 2657 
215 215 2 1 6.292 AM 5 0 s_1 14 1 18.25 2658 
215 215 6 1 12.542 MD 5 0 s_1 14 1 18.25 2658 
215 215 2 1 12.042 MD 5 0 s_1 11 2 18.25 2659 
215 215 6 1 17.042 PM 5 0 s_1 11 2 18.25 2659 
215 77 1 4 5.33 AM 40 10.4914 s_1 39 2 18.25 2673 
77 12 7 2 4.75 AM 30 4.6308 s_1 39 2 18.25 2673 
12 215 6 2 5.75 AM 30 5.8606 s_1 39 2 18.25 2673 
215 287 1 3 7.25 AM 30 14.0618 s_1 22 2 18.25 2674 
287 231 2 3 17.50 PM 60 18.0838 s_1 22 2 38.33 2674 
231 215 6 3 21.25 PM 30 4.5806 s_1 22 2 18.25 2674 
215 231 2 2 17.75 PM 30 4.5806 s_1 17 2 18.25 2675 
231 215 6 2 21.25 PM 30 4.5806 s_1 17 2 18.25 2675 
215 215 2 1 12.04 MD 5 0 s_1 6 2 18.25 2676 
215 215 6 1 16.04 PM 5 0 s_1 6 2 18.25 2676 
215 215 1 1 7.04 AM 5 0 s_1 45 1 18.25 2677 
215 215 6 1 20.96 PM 5 0 s_1 45 1 18.25 2677 
141 151 1 6 8.13 AM 15 1.8336 s_1 50 1 41.20 2690 
151 141 6 6 17.50 PM 60 1.8336 s_1 50 1 41.20 2690 
141 142 1 1 14.08 MD 10 0.5734 s_1 45 2 41.20 2691 
142 141 6 5 0.92 MN 10 0.5734 s_1 45 2 41.20 2691 
141 79 2 2 7.50 AM 60 6.8478 s_1 23 2 41.20 2692 
79 141 6 2 11.50 MD 60 6.8478 s_1 23 2 41.20 2692 
141 79 2 2 19.50 PM 60 6.8478 s_1 23 2 41.20 2692 
79 141 6 2 21.63 PM 45 6.8478 s_1 23 2 41.20 2692 
365 76 1 2 12.5 MD 60 9.7382 s_1 29 2 32.75589793 2735 
76 365 6 2 18.25 PM 30 9.7382 s_1 29 2 32.75589793 2735 
136 151 7 3 10.13 MD 15 1.4727 s_1 32 2 59.25 2834 
151 136 6 3 12.88 MD 15 1.4727 s_1 32 2 59.25 2834 
215 6 1 4 6.25 AM 30 6.7283 s_1 48 1 16.97 2884 
6 215 6 4 17.75 PM 30 6.7283 s_1 48 1 17.34 2884 
215 215 1 3 5.21 AM 25 0 s_1 22 2 18.25 2885 
215 265 5 2 15.17 MD 20 2.4356 s_1 22 2 18.25 2885 
265 215 6 2 18.58 PM 50 2.4356 s_1 22 2 18.25 2885 
215 262 2 1 6.71 AM 25 0.5968 s_1 10 2 18.25 2886 
262 215 6 1 12.21 MD 25 0.5968 s_1 10 2 18.25 2886 
215 215 7 6 6.542 AM 5 0 s_1 71 1 18.25 2916 
215 262 1 6 8.083 AM 10 0.5968 s_1 71 1 18.25 2916 
262 215 6 6 18.915 PM 10.2 0.5968 s_1 71 1 18.25 2916 
215 262 2 1 10.167 MD 20 0.5968 s_1 18 2 18.25 2917 
262 215 6 1 18.585 PM 19.8 0.5968 s_1 18 2 18.25 2917 
215 262 2 1 13.417 MD 20 0.5968 s_1 13 2 18.25 2918 
262 215 6 1 18.585 PM 19.8 0.5968 s_1 13 2 18.25 2918 
215 262 2 1 12.167 MD 20 0.5968 s_1 10 2 18.25 2919 
262 215 6 1 17.167 PM 20 0.5968 s_1 10 2 18.25 2919 
140 133 1 1 5.667 AM 20 1.6575 s_1 34 1 43.13392102 3003 
133 140 6 1 18.835 PM 19.8 1.6575 s_1 34 1 43.13392102 3003 
140 9 1 2 7.25 AM 30 6.6521 s_1 33 2 43.13392102 3004 
9 140 6 2 18.25 PM 30 6.6521 s_1 33 2 38.82052892 3004 
140 151 2 1 11.75 MD 30 2.1575 s_1 10 2 43.13392102 3005 
151 140 6 1 17.418 PM 29.8 2.1575 s_1 10 2 43.13392102 3005 
140 141 2 1 6.498 AM 20.2 0.4499 s_1 8 1 43.13392102 3006 
141 140 6 1 11.917 MD 20 0.4499 s_1 8 1 43.13392102 3006 
140 320 1 4 6.00 AM 60 10.8876 s_1 30 1 51.76 3007 
320 140 6 4 18.50 PM 60 10.8876 s_1 30 1 46.84 3007 
140 142 7 2 9.25 AM 30 1.0231 s_1 25 2 43.13 3008 
142 140 6 2 15.75 MD 30 1.0231 s_1 25 2 43.13 3008 
140 140 2 1 6.92 AM 10 0 s_1 7 1 43.13 3009 
140 140 6 1 12.08 MD 10 0 s_1 7 1 43.13 3009 
140 161 1 2 18.25 PM 30 3.5042 s_1 36 1 43.13392102 3012 
161 140 6 5 4.25 AM 30 3.5042 s_1 36 1 43.13392102 3012 
140 1 1 2 7.665 AM 40.2 6.2463 s_1 37 2 43.13392102 3013 
1 140 6 2 16.333 PM 40 6.2463 s_1 37 2 43.13392102 3013 
140 127 2 1 6.167 AM 20 4.3516 s_1 17 1 43.13392102 3014 
127 140 6 1 12.667 MD 20 4.3516 s_1 17 1 43.13392102 3014 
140 127 2 1 6.167 AM 20 4.3516 s_1 16 1 43.13392102 3015 
127 140 6 1 12.667 MD 20 4.3516 s_1 16 1 43.13392102 3015 
140 127 2 1 6.167 AM 20 4.3516 s_1 15 1 43.13392102 3016 
127 140 6 1 12.667 MD 20 4.3516 s_1 15 1 43.13392102 3016 
140 151 2 1 6.167 AM 20 2.1575 s_1 13 2 43.13392102 3017 
151 140 6 1 12.667 MD 20 2.1575 s_1 13 2 43.13392102 3017 
140 71 1 4 6.25 AM 30 8.8964 s_1 51 1 40.11454655 3018 
71 140 6 4 22.75 MN 30 8.8964 s_1 51 1 43.13392102 3018 
140 170 1 4 7.333 AM 40 4.1361 s_1 49 2 40.11454655 3019 
170 140 6 4 18.333 PM 40 4.1361 s_1 49 2 40.97722497 3019 
140 13 2 4 5.75 AM 30 6.8274 s_1 20 2 43.13392102 3020 
13 140 6 4 16.25 PM 30 6.8274 s_1 20 2 43.13392102 3020 
140 116 1 6 5 AM 30 2.7433 s_1 24 2 43.13392102 3021 
116 140 6 6 13.75 MD 30 2.7433 s_1 24 2 43.13392102 3021 
140 18 1 2 5.75 AM 30 5.6487 s_1 29 2 43.13392102 3024 
18 140 6 2 20.25 PM 30 5.6487 s_1 29 2 43.13392102 3024 
140 18 1 2 5.75 AM 30 5.6487 s_1 31 2 43.13392102 3025 
18 140 6 2 20.25 PM 30 5.6487 s_1 31 2 43.13392102 3025 
140 141 2 1 6.498 AM 20.2 0.4499 s_1 7 1 43.13392102 3026 
141 140 6 1 13.335 MD 19.8 0.4499 s_1 7 1 43.13392102 3026 
140 141 2 1 6.498 AM 20.2 0.4499 s_1 11 1 43.13392102 3027 
